"Year","January","February","March","April","May","June","July","August","September","October","November","December","Min","Max","Mean"
1881,28.6890425142966,43.68762471986,86.5805477486932,30.090872808768,47.2701121676347,58.701900346913,68.9692355352872,115.762762243129,70.1083161458319,74.85928948404,29.1225415360742,39.5780107897506,28.6890425142966,115.762762243129,57.7850213366899
1882,25.8224435742933,31.0263743256406,45.5574778888259,44.5952978345144,59.1278554742774,110.419161994178,144.525973826622,102.574887734683,94.3504994376268,64.2775862886998,121.510366924084,82.9962294482603,25.8224435742933,144.525973826622,77.2320128959754
1883,42.2372684571438,26.1488739977059,32.8444445064652,20.5967100470831,51.4913104272082,56.4869426156075,116.861017072143,53.9545021950695,70.3560757236194,67.7221848547179,69.3039578234064,79.2547759856881,20.5967100470831,116.861017072143,57.2715053088215
1884,68.4232032665091,32.1965515220358,29.1044618660742,35.0154199099645,57.3539574047664,80.6278819881497,96.831893676581,61.1287876462101,41.8374811263093,89.5864087099466,44.6637733984923,95.4751676653558,29.1044618660742,96.831893676581,61.0204156816996
1885,24.2151307692093,47.4902191720415,51.157425419268,34.9426211893286,82.4325417314396,64.1518547151433,67.3375020583137,68.0717074654692,81.6522580050963,91.0493520846881,51.8443579875133,54.1100018699257,24.2151307692093,91.0493520846881,59.8712477056197
1886,54.7727509956657,19.9620125982758,49.9228362586973,44.4395581393402,59.9948953818416,112.313567008928,73.544036751018,61.0832675138082,40.5933385988954,50.4459661236439,53.7033990784336,101.885275869864,19.9620125982758,112.313567008928,60.2217420265343
1887,5.84251318018549,12.2856269693528,56.8996352249353,30.3466730672085,105.544968922951,32.0335833079824,75.3767649168441,58.604072530791,50.8676985679718,50.7907329829781,49.2280444205044,73.9557999793471,5.84251318018549,105.544968922951,50.148009505921
1888,39.5644077777747,49.0480738369481,102.948041183021,57.6887438843661,26.4758877263099,91.2420074629573,123.854743052668,80.5398726775941,46.4495552646783,77.4272557025758,51.7695804947209,19.2090353695057,19.2090353695057,123.854743052668,63.85143370276
1889,18.2069365871902,76.9860927762257,50.5560628853233,45.0822990597343,82.067314535463,78.0413839683172,95.6130481743105,77.304454609646,66.910603595281,88.6094674060781,33.6688891803864,38.2171709419123,18.2069365871902,95.6130481743105,62.605310309989
1890,83.4723488220863,5.86494391618267,34.6431065327391,51.9473546132742,70.2953310466281,85.9480160646157,98.0782996514123,120.623385793588,26.4168315643463,77.3064250090007,83.629548175706,6.31974613664971,5.86494391618267,120.623385793588,62.0454447771858
1891,50.1331024300662,12.1993731562393,64.5121084668563,54.4268677627594,58.358651755637,105.28246484121,121.2111899705,81.637228825882,45.3093415349578,36.8203866559867,43.4648105095408,87.9619986436061,12.1993731562393,121.2111899705,63.4431270461034
1892,66.4334404121651,51.5373915373301,33.6051665768916,32.6582529311784,47.8316843565362,87.961002280193,57.8810810961672,51.4361811092846,75.4184586788277,71.9903433686014,19.8151313273961,51.8934226060066,19.8151313273961,87.961002280193,54.0384630233815
1893,44.8887840738146,88.1715335902853,36.9669776697376,3.68873551156424,44.8815750914729,46.8303865722587,95.660549869803,45.869049379994,73.2664616260539,90.4578750387242,72.4447716039218,33.5780386990899,3.68873551156424,95.660549869803,56.39206156056
1894,29.0334521340876,61.6594921058434,43.3248758732135,44.8984239596096,56.0878027814448,90.4493794358406,98.9984147495276,102.1879694002,80.1283355149134,100.820732731794,29.2176398188126,59.4482184073256,29.0334521340876,102.1879694002,66.3545614093844
1895,65.2957692232552,24.4034267086795,58.3108374755445,46.1703474433649,76.9460010103181,76.0306500364216,82.5467914028071,75.8824626084627,20.2947002955599,79.8787562482033,67.7566780071615,92.7228881700684,20.2947002955599,92.7228881700684,63.8532757191539
1896,38.9584904396558,13.9291940061903,90.9273436169946,69.0072927103596,40.184101165773,98.1618769588868,98.0406304161561,109.294594240071,98.5921943159839,60.0940963374574,26.150188527587,37.1507439234391,13.9291940061903,109.294594240071,65.0408955548795
1897,35.3283115128816,63.0015154771242,72.538999115274,59.7369154040017,83.5139142011091,59.2111453155569,99.1678774668368,94.1481706823554,98.419446669439,29.0414956056745,28.2356078514553,42.0383027772584,28.2356078514553,99.1678774668368,63.6984751732472
1898,35.7059081280369,79.7964460247333,68.391886196878,60.6172094568005,103.977195278856,80.4625805533306,99.2070845066885,49.856649260542,28.6180048729706,59.8074813774934,30.1731383772952,52.9091244002981,28.6180048729706,103.977195278856,62.4602257028269
1899,83.6872451528455,27.4719190182611,25.0304546710466,86.0476747333961,93.1609392050862,48.8956860534241,96.0235722279746,37.44892451361,120.803903400195,31.7793655090803,35.3667510459025,48.6538934923793,25.0304546710466,120.803903400195,61.1975274186001
1900,97.7710513169021,56.7201083998738,39.8246344574284,47.8906260902086,53.8915917533484,92.2844631499038,87.5737518245731,71.8912428866071,33.1676876833295,80.0000865189518,39.8834729265454,69.698143749843,33.1676876833295,97.7710513169021,64.2164050631263
1901,45.0584421564988,35.1273335696324,55.8044085592362,72.4150983943757,38.6292997825862,65.7366251468729,82.2186696734329,78.6347672221556,72.1535013661622,76.4059748313578,67.527037172449,66.9166152669668,35.1273335696324,82.2186696734329,63.0523144284772
1902,61.3499105505675,29.5131829764194,72.465561270768,33.8661802999138,91.1886615518151,69.2644968085671,77.3532652531516,91.6890118140233,54.8970033742391,57.3881993731563,10.64050817325,76.8552677482466,10.64050817325,91.6890118140233,60.5392707661765
1903,45.8365684909141,38.0753998710589,36.4362760010382,76.2563082084158,53.2254544338172,50.8507994630243,100.627558239814,104.80768511567,63.4322542652448,88.9952833216579,78.9329617669961,17.3896004219892,17.3896004219892,104.80768511567,62.9055124666367
1904,38.394766440694,75.253461455807,38.0922933941385,51.5780973087024,68.5130322659871,57.8421587315764,29.0036449597129,46.167506272624,60.8328425941173,54.0444791140459,67.0967867977661,52.003840325088,29.0036449597129,75.253461455807,53.2352424716883
1905,52.7113616129365,40.9958303447083,73.6179769636314,58.4879892158313,40.7511966129226,76.519476532432,98.4206970078397,94.2982391997834,71.7288691414808,106.543456236761,58.9032020384981,38.3800024002032,38.3800024002032,106.543456236761,67.6131914422523
1906,72.9166431763061,45.753580070499,78.5383655732718,33.6271200631867,89.51419887637,76.4462480079708,96.2267605908966,74.9423086047284,64.9102938016148,31.8877570101283,55.9577145600232,66.2895035765818,31.8877570101283,96.2267605908966,65.5842078259648
1907,60.5086114266417,42.9347814559186,56.1327451905231,37.0029025712874,58.7873336254511,75.5748905256166,110.515435260101,66.763459976612,40.7039098193429,33.9935641063569,32.0958657895692,73.6598437635186,32.0958657895692,110.515435260101,57.3894452925783
1908,38.8262699447116,67.8053993407814,37.0374543333436,70.1971180816236,96.4109371118857,55.0705576006899,88.0702450160897,99.6261404453773,53.1664038537216,4.11038422787417,37.681303254508,20.5680443646858,4.11038422787417,99.6261404453773,55.7141881312744
1909,36.5237885253542,62.982322224486,37.8882677510375,55.9282199702487,37.1447545792249,80.1154106998825,119.366257050597,60.1237751288714,81.9269166041032,49.9189624424021,68.5396828940869,83.0488273891092,36.5237885253542,119.366257050597,64.4589321049503
1910,69.758302330709,62.5977957203819,23.9386580631477,50.5874274008312,61.6737956422358,109.045645724429,119.243765751333,100.144938780864,67.7584669958108,18.1835597245906,99.8567357794938,54.3170668400767,18.1835597245906,119.243765751333,69.7588465628253
1911,27.8959372374778,58.6460258496301,42.6747557235078,33.8686753948474,51.1338476094255,62.4450981431916,32.2314688964368,29.2923391654549,39.5744970039325,55.3998850135221,49.6364557371833,74.0134718380812,27.8959372374778,74.0134718380812,46.4010381343909
1912,57.6513035056921,47.6386912752614,62.4026061741041,35.9535421137975,75.0887851901882,96.0509289623587,74.6138910363575,125.946028919657,70.5026109186917,60.0773032879993,72.3857238147601,62.9189596514682,35.9535421137975,125.946028919657,70.102531237528
1913,53.9375333167738,30.3674683159226,52.7471497587238,41.3950957708978,63.3352832658392,92.0434408866239,85.8545225688872,60.246897179203,60.0898150448085,38.7506077258633,79.3397459691936,87.5000934962867,30.3674683159226,92.0434408866239,62.133971108252
1914,44.3290650650427,26.722620240411,114.154905205929,38.2323229222195,96.6781522901009,81.5124266333243,124.335302802377,55.4911959989171,82.4726502429508,55.5235680415738,44.5059628303419,59.3010329246476,26.722620240411,124.335302802377,68.6049337664863
1915,94.0310463490398,32.6648032531126,87.0123359279716,49.1371744026704,39.6071676765196,40.4263849311896,89.2733998878044,96.2210503400753,51.9906503713337,40.9340948861717,46.4505404643556,114.774132507961,32.6648032531126,114.774132507961,65.2102317498505
1916,86.0929967094889,67.9643402371736,43.3822630566867,58.3948334231084,62.5009363583336,97.1177746209214,87.64826976051,83.0430613196094,54.3962930815538,67.2125993921346,47.9852275867073,76.4878775784741,43.3822630566867,97.1177746209214,69.3522060937251
1917,61.7446769912616,12.7781877349617,49.4326142957218,57.1263344152854,39.9301317599908,54.8220360979395,75.0141304984887,120.843964465829,35.6370139239694,103.885097250093,49.2167327652852,37.0362709773571,12.7781877349617,120.843964465829,58.1222659313486
1918,72.990962955934,42.8927974368063,22.9986715154492,57.7372363614036,35.5665958699759,65.9033555398643,87.9056915515639,88.7735994395805,86.5635453791902,51.5185611061029,24.2006151218382,109.586319400061,22.9986715154492,109.586319400061,62.2198293064808
1919,32.5137104629322,37.0629606785318,64.5031914329492,64.4440906160429,24.7811070518527,65.0387493266872,80.9798327114203,49.5345531575231,41.0666642478573,54.323854391395,95.0357658183157,120.322671035409,24.7811070518527,120.322671035409,60.8005959109097
1920,90.5528393566339,35.3474796471143,26.8562780663294,75.2140116047033,74.685704557316,44.2092977172951,102.409471871572,82.4012218708746,76.7484754523406,13.8314108450111,10.172024794657,44.1779806476641,10.172024794657,102.409471871572,56.383849702626
1921,97.9202713904154,22.0648864229437,15.544156761177,31.2100345238527,62.8650025257952,69.2605588007915,32.7441662503524,67.6662684934259,36.1924823403656,40.3791790746938,41.210584337837,60.6312394816677,15.544156761177,97.9202713904154,48.1407358669431
1922,72.3930221069876,50.5472435341038,58.1663368713072,83.0077113504491,44.4939227413669,69.4389469248095,111.119998995264,94.9066348872323,97.2669751578971,58.373767453803,79.2114299908178,74.5892666262911,44.4939227413669,111.119998995264,74.4596047200274
1923,59.6040976491963,59.0755784908304,33.4142136683198,46.5588901013947,86.7551988121785,75.7548331998336,62.0628936961175,65.4242526576668,51.0558465879437,127.595339698523,56.6472036237487,65.5055609358559,33.4142136683198,127.595339698523,65.7878257601341
1924,27.203941915083,36.6699636899496,32.7056374074456,78.9428305093733,90.4680061288909,82.7715313575382,106.591384945144,132.517905236629,88.2367214340935,40.6561653125986,46.6956374911736,24.7463850428269,24.7463850428269,132.517905236629,65.6838425392289
1925,55.5697635799868,47.1826749985348,54.2035958392757,59.7945956355375,44.4718297083753,46.5123763965136,75.5744802583289,99.8489853559697,94.8751140794244,54.4818184609116,52.4964317909702,102.54993957628,44.4718297083753,102.54993957628,65.6301338066757
1926,66.9552948203057,62.5367635771958,56.7299129507707,33.7097540349927,81.2889286441922,120.123409516527,140.415374696835,61.8231217712383,42.1383940407979,107.751930628546,59.0270190313785,51.851812572041,33.7097540349927,140.415374696835,73.6959763570684
1927,54.8329374858709,36.1914720222828,52.1989154430747,100.964150453666,52.5273218477099,102.176367487852,116.381830461927,131.175759064256,92.1652372433388,34.6827712857553,61.3556961566049,33.2477428321839,33.2477428321839,131.175759064256,72.3250168153769
1928,58.8377965018434,67.8636265953676,24.2396295872488,64.7092070119424,63.1749748118213,69.1496163861313,45.8325997828653,95.4882934276297,24.7698874974533,74.977923712612,107.395533947525,56.5877511491671,24.2396295872488,107.395533947525,62.7522367009672
